 ;;;;
SO;Rank;Freq;cumFreq;Zone
ENVIRONMENT INTERNATIONAL;69;2;507;Zone 2
ENVIRONMENTAL POLLUTION;70;2;509;Zone 2
EUROPEAN JOURNAL OF PHARMACOLOGY;71;2;511;Zone 2
FOOD AND CHEMICAL TOXICOLOGY;72;2;513;Zone 2
FRONTIERS IN ENDOCRINOLOGY;73;2;515;Zone 2
FRONTIERS IN GENETICS;74;2;517;Zone 2
INFLAMMATORY BOWEL DISEASES;75;2;519;Zone 2
JOURNAL OF APPLIED MICROBIOLOGY;76;2;521;Zone 2
JOURNAL OF CLINICAL MEDICINE;77;2;523;Zone 2
JOURNAL OF ETHNOPHARMACOLOGY;78;2;525;Zone 2
JOURNAL OF PERSONALIZED MEDICINE;79;2;527;Zone 2
JOURNAL OF PROTEOMICS;80;2;529;Zone 2
JOURNAL OF TRANSLATIONAL MEDICINE;81;2;531;Zone 3
LECTURE NOTES IN COMPUTER SCIENCE (INCLUDING SUBSERIES LECTURE NOTES IN ARTIFICIAL INTELLIGENCE AND LECTURE NOTES IN BIOINFORMATICS);82;2;533;Zone 3
MAMMALIAN GENOME;83;2;535;Zone 3
MEDICAL JOURNAL OF PEKING UNION MEDICAL COLLEGE HOSPITAL;84;2;537;Zone 3
MICROBIAL CELL FACTORIES;85;2;539;Zone 3
MOLECULAR MICROBIOLOGY;86;2;541;Zone 3
MOLECULES;87;2;543;Zone 3
MSPHERE;88;2;545;Zone 3
MSYSTEMS;89;2;547;Zone 3
NATURE MICROBIOLOGY;90;2;549;Zone 3
NATURE REVIEWS GASTROENTEROLOGY AND HEPATOLOGY;91;2;551;Zone 3
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA;92;2;553;Zone 3
RESEARCH IN MICROBIOLOGY;93;2;555;Zone 3
RUSSIAN JOURNAL OF GENETICS;94;2;557;Zone 3
SCIENTIFIC DATA;95;2;559;Zone 3
SEMINARS IN CANCER BIOLOGY;96;2;561;Zone 3
STAR PROTOCOLS;97;2;563;Zone 3
VACCINES;98;2;565;Zone 3
ACS CHEMICAL BIOLOGY;99;1;566;Zone 3
ADVANCES IN CLINICAL CHEMISTRY;100;1;567;Zone 3
ADVANCES IN SCIENCE, TECHNOLOGY AND ENGINEERING SYSTEMS;101;1;568;Zone 3
AIDS;102;1;569;Zone 3
AIP CONFERENCE PROCEEDINGS;103;1;570;Zone 3
ALIMENTARY PHARMACOLOGY AND THERAPEUTICS;104;1;571;Zone 3
AMERICAN JOURNAL OF PHYSIOLOGY - ENDOCRINOLOGY AND METABOLISM;105;1;572;Zone 3
ANAEROBE;106;1;573;Zone 3
ANALYTICAL CHEMISTRY;107;1;574;Zone 3
ANNALS OF TRANSLATIONAL MEDICINE;108;1;575;Zone 3
ANNUAL REVIEW OF BIOCHEMISTRY;109;1;576;Zone 3
ANTI-CANCER DRUGS;110;1;577;Zone 3
APPLIED BIOCHEMISTRY AND BIOTECHNOLOGY;111;1;578;Zone 3
APPLIED SCIENCES-BASEL;112;1;579;Zone 3
ARCHIVES OF RHEUMATOLOGY;113;1;580;Zone 3
AUTOIMMUNITY REVIEWS;114;1;581;Zone 3
BEHAVIOURAL BRAIN RESEARCH;115;1;582;Zone 3
BEIJING DA XUE XUE BAO. YI XUE BAN = JOURNAL OF PEKING UNIVERSITY. HEALTH SCIENCES;116;1;583;Zone 3
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS;117;1;584;Zone 3
BIODATA MINING;118;1;585;Zone 3
"BIOINFORMATICS 2020 - 11TH INTERNATIONAL CONFERENCE ON BIOINFORMATICS MODELS, METHODS AND ALGORITHMS, PROCEEDINGS; PART OF 13TH INTERNATIONAL JOINT CONFERENCE ON BIOMEDICAL ENGINEERING SYSTEMS AND TECHNOLOGIES, BIOSTEC 2020";119;1;586;Zone 3
BIOINFORMATICS AND BIOLOGY INSIGHTS;120;1;587;Zone 3
BIOMETRICS;121;1;588;Zone 3
BIOSCIENCE REPORTS;122;1;589;Zone 3
BIOSENSORS AND BIOELECTRONICS;123;1;590;Zone 3
BMC COMPLEMENTARY MEDICINE AND THERAPIES;124;1;591;Zone 3
BMC MEDICAL INFORMATICS AND DECISION MAKING;125;1;592;Zone 3
BMC MEDICINE;126;1;593;Zone 3
BMC NUTRITION;127;1;594;Zone 3
BMC PREGNANCY AND CHILDBIRTH;128;1;595;Zone 3
BMC PSYCHIATRY;129;1;596;Zone 3
BMC PULMONARY MEDICINE;130;1;597;Zone 3
BMC SYSTEMS BIOLOGY;131;1;598;Zone 3
BRAIN RESEARCH BULLETIN;132;1;599;Zone 3
BRAIN, BEHAVIOR, AND IMMUNITY;133;1;600;Zone 3
BRAZILIAN JOURNAL OF MEDICAL AND BIOLOGICAL RESEARCH;134;1;601;Zone 3
BRIEFINGS IN BIOINFORMATICS;135;1;602;Zone 3
BRITISH JOURNAL OF DERMATOLOGY;136;1;603;Zone 3
BULLETIN OF RUSSIAN STATE MEDICAL UNIVERSITY;137;1;604;Zone 3
CANADIAN JOURNAL OF MICROBIOLOGY;138;1;605;Zone 3
CARDIOVASCULAR DIAGNOSIS AND THERAPY;139;1;606;Zone 3
CELL;140;1;607;Zone 3
CELL HOST AND MICROBE;141;1;608;Zone 3
CELL REPORTS;142;1;609;Zone 3
CELL REPORTS MEDICINE;143;1;610;Zone 3
CELL REPORTS METHODS;144;1;611;Zone 3
CELLULAR AND MOLECULAR LIFE SCIENCES;145;1;612;Zone 3
CHINESE JOURNAL OF CONTEMPORARY PEDIATRICS;146;1;613;Zone 3
CLINICAL AND EXPERIMENTAL NEPHROLOGY;147;1;614;Zone 3
CLINICAL AND EXPERIMENTAL RHEUMATOLOGY;148;1;615;Zone 3
CLINICAL AND TRANSLATIONAL GASTROENTEROLOGY;149;1;616;Zone 3
CLINICAL GASTROENTEROLOGY AND HEPATOLOGY;150;1;617;Zone 3
CLINICAL INFECTIOUS DISEASES;151;1;618;Zone 3
CLINICAL SCIENCE;152;1;619;Zone 3
CLINICAL, COSMETIC AND INVESTIGATIONAL DERMATOLOGY;153;1;620;Zone 3
CNS AND NEUROLOGICAL DISORDERS - DRUG TARGETS;154;1;621;Zone 3
COMPUTATIONAL BIOLOGY AND CHEMISTRY;155;1;622;Zone 3
CRITICAL CARE;156;1;623;Zone 3
CURRENT NUTRITION REPORTS;157;1;624;Zone 3
CURRENT OPINION IN BIOTECHNOLOGY;158;1;625;Zone 3
CURRENT OPINION IN MICROBIOLOGY;159;1;626;Zone 3
CURRENT OPINION IN OPHTHALMOLOGY;160;1;627;Zone 3
CURRENT OPINION IN TOXICOLOGY;161;1;628;Zone 3
CURRENT PHARMACEUTICAL DESIGN;162;1;629;Zone 3
CURRENT PHARMACOLOGY REPORTS;163;1;630;Zone 3
CURRENT PROTOCOLS IN TOXICOLOGY;164;1;631;Zone 3
CURRENT RESEARCH IN TRANSLATIONAL MEDICINE;165;1;632;Zone 3
DATABASE;166;1;633;Zone 3
DER NERVENARZT;167;1;634;Zone 3
DERMATOLOGY PRACTICAL AND CONCEPTUAL;168;1;635;Zone 3
DIAGNOSTICS;169;1;636;Zone 3
DISEASES (BASEL, SWITZERLAND);170;1;637;Zone 3
DRUG DEVELOPMENT RESEARCH;171;1;638;Zone 3
DRUG DISCOVERY TODAY;172;1;639;Zone 3
ENCYCLOPEDIA OF BIOINFORMATICS AND COMPUTATIONAL BIOLOGY: ABC OF BIOINFORMATICS;173;1;640;Zone 3
ENVIRONMENTAL HEALTH PERSPECTIVES;174;1;641;Zone 3
EUROPEAN JOURNAL OF CLINICAL MICROBIOLOGY AND INFECTIOUS DISEASES;175;1;642;Zone 3
EUROPEAN JOURNAL OF PHARMACEUTICAL SCIENCES;176;1;643;Zone 3
EUROPEAN REVIEW FOR MEDICAL AND PHARMACOLOGICAL SCIENCES;177;1;644;Zone 3
EXPERT REVIEW OF OPHTHALMOLOGY;178;1;645;Zone 3
FASEB JOURNAL;179;1;646;Zone 3
FEBS LETTERS;180;1;647;Zone 3
FEMS MICROBIOLOGY REVIEWS;181;1;648;Zone 3
FISH AND SHELLFISH IMMUNOLOGY REPORTS;182;1;649;Zone 3
FOLIA NEUROPATHOLOGICA;183;1;650;Zone 3
FOOD AND FUNCTION;184;1;651;Zone 3
FOOD RESEARCH INTERNATIONAL;185;1;652;Zone 3
FRONTIERS IN MEDICINE;186;1;653;Zone 3
FRONTIERS IN NEUROLOGY;187;1;654;Zone 3
FRONTIERS IN NEUROSCIENCE;188;1;655;Zone 3
FRONTIERS IN PEDIATRICS;189;1;656;Zone 3
FRONTIERS IN PHARMACOLOGY;190;1;657;Zone 3
FUTURE MICROBIOLOGY;191;1;658;Zone 3
GENE;192;1;659;Zone 3
GENES & DEVELOPMENT;193;1;660;Zone 3
GENETICS;194;1;661;Zone 3
GUT PATHOGENS;195;1;662;Zone 3
GYNECOLOGICAL ENDOCRINOLOGY;196;1;663;Zone 3
HELIYON;197;1;664;Zone 3
HUMAN-GUT MICROBIOME: ESTABLISHMENT AND INTERACTIONS;198;1;665;Zone 3
HYPERTENSION;199;1;666;Zone 3
IFMBE PROCEEDINGS;200;1;667;Zone 3
ILAR JOURNAL;201;1;668;Zone 3
IMETA;202;1;669;Zone 3
IMMUNITY, INFLAMMATION AND DISEASE;203;1;670;Zone 3
INDIAN JOURNAL OF MICROBIOLOGY;204;1;671;Zone 3
INFECTION AND DRUG RESISTANCE;205;1;672;Zone 3
INFECTION AND IMMUNITY;206;1;673;Zone 3
INTEGRATIVE CANCER THERAPIES;207;1;674;Zone 3
INTERNATIONAL JOURNAL FOR PARASITOLOGY;208;1;675;Zone 3
INTERNATIONAL JOURNAL OF HYPERTENSION;209;1;676;Zone 3
INTERNATIONAL JOURNAL OF INFECTIOUS DISEASES;210;1;677;Zone 3
INTERNATIONAL JOURNAL OF RHEUMATIC DISEASES;211;1;678;Zone 3
ISCIENCE;212;1;679;Zone 3
JBMR PLUS;213;1;680;Zone 3
JOURNAL OF AFFECTIVE DISORDERS;214;1;681;Zone 3
JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY;215;1;682;Zone 3
JOURNAL OF ANIMAL PHYSIOLOGY AND ANIMAL NUTRITION;216;1;683;Zone 3
JOURNAL OF ASTHMA AND ALLERGY;217;1;684;Zone 3
JOURNAL OF AUTOIMMUNITY;218;1;685;Zone 3
JOURNAL OF BIOCHEMICAL AND MOLECULAR TOXICOLOGY;219;1;686;Zone 3
JOURNAL OF CANCER RESEARCH AND CLINICAL ONCOLOGY;220;1;687;Zone 3
JOURNAL OF CELLULAR AND MOLECULAR MEDICINE;221;1;688;Zone 3
JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY AND ALLIED DISCIPLINES;222;1;689;Zone 3
JOURNAL OF CHROMATOGRAPHY B: ANALYTICAL TECHNOLOGIES IN THE BIOMEDICAL AND LIFE SCIENCES;223;1;690;Zone 3
JOURNAL OF COMPUTATIONAL BIOLOGY;224;1;691;Zone 3
JOURNAL OF CONTEMPORARY MEDICAL SCIENCES;225;1;692;Zone 3
JOURNAL OF CROHN'S AND COLITIS;226;1;693;Zone 3
JOURNAL OF DIGESTIVE DISEASES;227;1;694;Zone 3
JOURNAL OF ENDOCRINOLOGY;228;1;695;Zone 3
JOURNAL OF GASTROENTEROLOGY AND HEPATOLOGY (AUSTRALIA);229;1;696;Zone 3
JOURNAL OF GENERAL AND APPLIED MICROBIOLOGY;230;1;697;Zone 3
JOURNAL OF GENETICS AND GENOMICS;231;1;698;Zone 3
JOURNAL OF HAZARDOUS MATERIALS;232;1;699;Zone 3
JOURNAL OF HYGIENIC ENGINEERING AND DESIGN;233;1;700;Zone 3
JOURNAL OF IMMUNOLOGY RESEARCH;234;1;701;Zone 3
JOURNAL OF INFECTIOUS DISEASES;235;1;702;Zone 3
JOURNAL OF INFLAMMATION RESEARCH;236;1;703;Zone 3
JOURNAL OF MICROBIOLOGY;237;1;704;Zone 3
JOURNAL OF MICROBIOLOGY AND BIOTECHNOLOGY;238;1;705;Zone 3
JOURNAL OF NEUROINFLAMMATION;239;1;706;Zone 3
JOURNAL OF NUTRITIONAL BIOCHEMISTRY;240;1;707;Zone 3
JOURNAL OF PARKINSON'S DISEASE;241;1;708;Zone 3
JOURNAL OF PATHOLOGY: CLINICAL RESEARCH;242;1;709;Zone 3
JOURNAL OF PEDIATRIC GASTROENTEROLOGY AND NUTRITION;243;1;710;Zone 3
JOURNAL OF PSYCHIATRIC RESEARCH;244;1;711;Zone 3
JOURNAL OF THE AMERICAN HEART ASSOCIATION;245;1;712;Zone 3
JOURNAL OF THE FORMOSAN MEDICAL ASSOCIATION;246;1;713;Zone 3
JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE;247;1;714;Zone 3
JOURNAL OF TOXICOLOGICAL SCIENCES;248;1;715;Zone 3
JOURNAL OF VETERINARY INTERNAL MEDICINE;249;1;716;Zone 3
JOURNAL OF VIRAL HEPATITIS;250;1;717;Zone 3
JUNDISHAPUR JOURNAL OF MICROBIOLOGY;251;1;718;Zone 3
LIFE SCIENCES;252;1;719;Zone 3
MARINE DRUGS;253;1;720;Zone 3
MECHANISMS OF AGEING AND DEVELOPMENT;254;1;721;Zone 3
MEDIATORS OF INFLAMMATION;255;1;722;Zone 3
MEDICAL SCIENCE MONITOR;256;1;723;Zone 3
MEDICINA-LITHUANIA;257;1;724;Zone 3
METHODS;258;1;725;Zone 3
METHODS (SAN DIEGO, CALIF.);259;1;726;Zone 3
MICROBIOLOGYOPEN;260;1;727;Zone 3
MICROORGANISMS;261;1;728;Zone 3
MIDDLE EAST JOURNAL OF DIGESTIVE DISEASES;262;1;729;Zone 3
MOLECULAR ECOLOGY RESOURCES;263;1;730;Zone 3
MOLECULAR MEDICINE;264;1;731;Zone 3
MOLECULAR METABOLISM;265;1;732;Zone 3
MOLECULAR OMICS;266;1;733;Zone 3
NAR GENOMICS AND BIOINFORMATICS;267;1;734;Zone 3
NATURE;268;1;735;Zone 3
NATURE BIOTECHNOLOGY;269;1;736;Zone 3
NATURE MEDICINE;270;1;737;Zone 3
NATURE METABOLISM;271;1;738;Zone 3
NATURE REVIEWS MICROBIOLOGY;272;1;739;Zone 3
NEURAL PLASTICITY;273;1;740;Zone 3
NEUROBIOLOGY OF DISEASE;274;1;741;Zone 3
NEUROGASTROENTEROLOGY AND MOTILITY;275;1;742;Zone 3
NEUROLOGICAL SCIENCES AND NEUROPHYSIOLOGY;276;1;743;Zone 3
NEUROPHARMACOLOGY;277;1;744;Zone 3
NEUROSCIENCE;278;1;745;Zone 3
NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS;279;1;746;Zone 3
NEW AND FUTURE DEVELOPMENTS IN MICROBIAL BIOTECHNOLOGY AND BIOENGINEERING: TRENDS OF MICROBIAL BIOTECHNOLOGY FOR SUSTAINABLE AGRICULTURE AND BIOMEDICINE SYSTEMS: PERSPECTIVES FOR HUMAN HEALTH;280;1;747;Zone 3
NEW ENGLAND JOURNAL OF MEDICINE;281;1;748;Zone 3
NEW MICROBES AND NEW INFECTIONS;282;1;749;Zone 3
NPJ PARKINSON'S DISEASE;283;1;750;Zone 3
NUTRITION REVIEWS;284;1;751;Zone 3
OMICS A JOURNAL OF INTEGRATIVE BIOLOGY;285;1;752;Zone 3
PACIFIC SYMPOSIUM ON BIOCOMPUTING;286;1;753;Zone 3
PARASITES AND VECTORS;287;1;754;Zone 3
PATHOBIOLOGY;288;1;755;Zone 3
PATHOGENS;289;1;756;Zone 3
PEDIATRIC NEUROLOGY;290;1;757;Zone 3
PEDIATRIC PULMONOLOGY;291;1;758;Zone 3
PHYSIOLOGICAL GENOMICS;292;1;759;Zone 3
PHYTOMEDICINE;293;1;760;Zone 3
PLANTA MEDICA;294;1;761;Zone 3
PLOS PATHOGENS;295;1;762;Zone 3
PROCEEDINGS - 2018 IEEE 18TH INTERNATIONAL CONFERENCE ON BIOINFORMATICS AND BIOENGINEERING, BIBE 2018;296;1;763;Zone 3
PROCEEDINGS - 2019 IEEE 19TH INTERNATIONAL CONFERENCE ON BIOINFORMATICS AND BIOENGINEERING, BIBE 2019;297;1;764;Zone 3
PROCEEDINGS - 2019 IEEE INTERNATIONAL CONFERENCE ON BIOINFORMATICS AND BIOMEDICINE, BIBM 2019;298;1;765;Zone 3
PROGRESS IN MOLECULAR BIOLOGY AND TRANSLATIONAL SCIENCE;299;1;766;Zone 3
PROTEIN AND PEPTIDE LETTERS;300;1;767;Zone 3
PROTEOMICS;301;1;768;Zone 3
PSYCHOSOMATIC MEDICINE;302;1;769;Zone 3
REDOX REPORT;303;1;770;Zone 3
RESEARCH IN VETERINARY SCIENCE;304;1;771;Zone 3
RMD OPEN;305;1;772;Zone 3
RNAI FOR PLANT IMPROVEMENT AND PROTECTION;306;1;773;Zone 3
RUSSIAN OPEN MEDICAL JOURNAL;307;1;774;Zone 3
SAR AND QSAR IN ENVIRONMENTAL RESEARCH;308;1;775;Zone 3
SCANDINAVIAN JOURNAL OF GASTROENTEROLOGY;309;1;776;Zone 3
SCHIZOPHRENIA RESEARCH;310;1;777;Zone 3
SCIENCE;311;1;778;Zone 3
SCIENCE OF THE TOTAL ENVIRONMENT;312;1;779;Zone 3
SHANGHAI KOU QIANG YI XUE / SHANGHAI JOURNAL OF STOMATOLOGY;313;1;780;Zone 3
SOUTH AFRICAN MEDICAL JOURNAL;314;1;781;Zone 3
TOXICS;315;1;782;Zone 3
TOXINS;316;1;783;Zone 3
TRANSLATIONAL PSYCHIATRY;317;1;784;Zone 3
TRANSPLANTATION;318;1;785;Zone 3
TRENDS IN BIOTECHNOLOGY;319;1;786;Zone 3
TRENDS IN GENETICS;320;1;787;Zone 3
VOPROSY PITANIIA;321;1;788;Zone 3
WORLD JOURNAL OF PEDIATRICS;322;1;789;Zone 3
